# gunzip -c exp/tri2_1600_25600/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri2_1600_25600/graph 
# Started at Mon Jul 25 02:14:36 IST 2016
#
At utterance begin, SIL accounts for 93.9% of phone occurrences, with duration (median, mean, 95-percentile) is (90,109.5,259) frames.
Overall, g_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,12.8,38) frames.
Overall, sh_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.3,15) frames.
Overall, dxq_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.8,5) frames.
Overall, u_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.2,19) frames.
Overall, ee_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.0,29) frames.
Overall, dh_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (14,18.8,42) frames.
The optional-silence phone SIL occupies 78.7% of frames overall 
Limiting the stats to the 18.8% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 0.0% of frames.
Assuming 100 frames per second, the alignments represent 0.6 hours of data, or 0.1 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 0.0% of utterance-internal phones, with duration (median, mean, 95-percentile) = (0,0.0,0)
# Accounting: time=0 threads=1
# Ended (code 0) at Mon Jul 25 02:14:36 IST 2016, elapsed time 0 seconds
