aadhaa	aa dh aa
atxtxhaawana	a ttxh aa w a n
atxtxhaawana	a tx txh aa w a n
awaagadxhqa	a w aa g a dxhq
awaagadxhqa	a w aa h axx g a dxhq
baadaama	b aa d aa m
baadaama	b a d aa m
baadashaaha	b aa d a sh aa h
baadashaaha	b aa d axx s aa h
baadashaaha	b aa d axx sh aa h
baagapata	b aa g a p a t
baagapata	b aa g axx p a t
baagapata	b aa g p a t
baagapata	b aa g p axx t
baaiisa	b aa ii s
baajaraa	b aa j a r aa
baajaraa	b aa j axx r aa
baajaraaboldxa	b aa j a r aa b o l dx
baajaraaboldxa	b aa j axx r aa b o l dx
baajaraadeeshii	b aa j a r aa d ee sh ii
baajaraadeeshii	b aa j a r aa d ee s ii
baajaraadeeshii	b aa j axx r aa d ee sh ii
baajaraadeeshii	b aa j axx r aa d ee s ii
baajaraahaaibridxa	b aa j a r aa h aa i b r i dx
baajaraahaaibridxa	b aa j a r aa h aa i b r ii dx
baajaraahaaibridxa	b aa j axx r aa h aa i b r i dx
baajaraahaaibridxa	b aa j axx r aa h aa i b r ii dx
baajaraalokala	b aa j a r aa l o k a l
baajaraalokala	b aa j axx r aa l o k a l
baalaaghaatxa	b aa l aa gh aa tx
baamora	b aa m ou r
baanapura	b aa n a p u r
baanapura	bh aa n a p u r
baandaa	b aa n d aa
baandaa	b aan d aa
baangaramauu	b aa g a r a m a uu
baangaramauu	b aa n g a r a m a uu
baangaramauu	b aan g a r axx m a uu
baankhedxqii	b aa n a kh ee dxq ii
baaraabankii	b aa r aa b a n k ii
baaraha	b aa r aa
baaraha	b aa r a h
baaraha	b aa r a h aa
baaralee	b aa r a l ee
baaralee	b aa r axx l ee
baaralee	b aa r l ee
baasamatii	b aa s a m a t ii
baasamatii	b aa s axx m a t i
baasamatii	b aa s axx m a t ii
baasamatiicaawala	b aa s a m a t ii c aa w a l
baasamatiicaawala	b aa s a m a t ii c aa w axx l
baasamatiicaawala	b aa s axx m a t i c aa w a l
baasamatiicaawala	b aa s axx m a t i c aa w axx l
baasamatiicaawala	b aa s axx m a t ii c aa w a l
baasamatiicaawala	b aa s axx m a t ii c aa w axx l
baasamatiidhaana	b aa s a m a t ii dh aa n
baasamatiidhaana	b aa s axx m a t i dh aa n
baasamatiidhaana	b aa s axx m a t ii dh aa n
baatxaaputtxii	b aa tx aa p u t tx ii
baatxaaputtxii	b aa tx aa p u ttx ii
<babble>	SIL
babeeruu	b a b ee r uu
bacchraanwaa	b a cch r aan w aa
badaayuun	b a d aan y uu
badaayuun	b a d aa uun
badaayuun	b a d aa y uun
badaayuun	b a d aa y uu n
badnaawara	b a d n aa w a r
badxqaa	b a dxq aa
badxqawaaha	b dxq a w aa h
badxqawaanii	b a dxq a w aa n ii
badxqoda	b a dxq o d
badxqoda	b a dxq ou d
bagalii	b a g a l ii
bahajoii	b a h a j o ii
bahajoii	b a h axx j o ii
bahajoii	b a h ee j o ii
bahajoii	b ee j o ii
bahajoii	b ei h axx j o ii
baharaaica	b a h a r aa i c
baharaaica	b a h axx r aa i c
baharaaica	b a h axx r aa ii c
baharaaica	b a h ee r aa ii c
bajadxqaa	b a j a dxq aa
bajadxqaa	b a j axx dxq aa
bajadxqaa	b a j dxq aa
bakra	b a k a r aa
baktara	b a k t a r
baktara	b a k t axx r
balaraamapura	b a l a r aa m axx p u r
balawaadii	b a l a w aa d i
balawaadii	b a l a w aa d ii
baliiyaa	b a l ii y aa
banaarasa	b a n aa r a s
bandagobhii	b a n d g o bh ii
bandagobhii	b a n d g o b ii
bandagobhii	b a n dh axx g o bh ii
bandagobhii	b a n dh axx g o b ii
bangaala	b a n g aa l
bangaala	b a n g o l
bangaalacanaa	b a n g aa l a c a n aa
bangaalacanaa	b a n g aa l ii c a n aa
bangaalacanaa	b a n g o l a c a n aa
bangaalacanaadeeshii	b a n g aa l a c a n aa d ee sh ii
bangaalacanaadeeshii	b a n g aa l a c a n aa d ee s ii
bangaalacanaadeeshii	b a n g o l a c a n aa d ee sh ii
bangaalacanaadeeshii	b a n g o l a c a n aa d ee s ii
bangaalii	b a n g aa l ii
<bang>	SIL
bantharaa	b a n th a r aa
baragada	b a r a g a d
baragada	b a r a g axx d
baraghaatxa	b aa r a gh aa tx
baraghaatxa	b a r a gh aa tx
bareelii	b a r ee l ii
barouta	b a r o u t
baruaasaagara	b a r u aa s aa g a r
baruaasaagara	b a r uu aa s aa g a r
baruaasaagara	b a r uu aa s aa g axx r
baruaasaagara	bh a r u aa s aa g a r
baruaasumeerapura	b a r u aa s u m ee r p u r
baruaasumeerapura	b a r uu aa s u m ee r p u r
basakhaarii	b a s a kh aa r ii
bastii	b a s t ii
battiisa	b a t t ii s
battiisa	b a tt ii s
beera	b ee r
beera	b ei r
beewara	b ee b a r
beewara	b ee w a r
beikuntxhapura	b ei k u n txh a p u r
beingana	b ee n g a n
beingana	b ei g a n
beingana	b ei n g a n
beoharii	b ee o h a r ii
beoharii	w ee o h a r ii
betuula	b ee t uu l
bhaanapura	bh aa n a p u r
bhaanapura	bh aa n axx p u r
bhaanapura	bh aa n p u r
bhaarathanaa	bh aa r a th a n aa
bhaarathanaa	bh aa r th a n aa
bhadohii	b h a d o h ii
bhadohii	bh a d o h ii
bharawaarii	bh a r a w aa r ii
bharawaarii	bh a r axx w aa r ii
bharthanaa	bh a r t axx n aa
bharthanaa	bh a r th a n aa
bharthanaa	bh a r th axx n aa
bhiikangaanw	bh ii k n g aa w
bhindxa	bh i n dx
bhindxii	bh i n dx ii
bhiwaanii	bh i w aa n ii
bhiwaanii	b i w aa n ii
bhopaala	bh o p aa l
bhuttxaa	b h u ttx aa
bhuttxaa	bh u t tx aa
bichiyaa	b i ch ii y aa
bichiyaa	b i ch i y aa
biija	b ii j
biinaa	b ii n aa
biinaaganja	b ii n aa g a n j
biisa	b ii s
bijanoura	b i j a n ou r
bijanoura	b i j axx n ou r
bilsii	b i l s ii
biltharaarodxq	b i l th a r aa r o dxq
bindakii	b i n d axx k ii
binoulaa	b i n ou l aa
biouraa	b i ou r aa
bluu	b i l uu
bluu	b l uu
<bn>	SIL
boldxa	b o l dx
bombee	b aa m b ee
bombee	b o m b ee
budhara	b u dh a r
bulandashahara	b u l a n d a s a h a r
bulandashahara	b u l a n d a sh a h a r
bulandashahara	b u l a n d a sh a h ee r
bulandashahara	b u l a n d axx s a h a r
bulandashahara	b u l a n d axx sh a h a r
burahaanapura	b u r a h aa n a p u r
burahaanapura	b u r a h aa n p u r
caaliisa	c aa l ii s
caandapura	c aa n d a p u r
caandapura	c aan d axx p u r
caandapura	c aan d p u r
caara	c aa r
caawalaaaiiaaraaatxha	c aa w a l a aa ii aa r aa txh
caawalaanya	c aa w a l a a n y
caawalaanya	c aa w axx l a a n y
caawalabaasamatii	c aa w a l a b aa s a m a t ii
caawalabaasamatii	c aa w a l a b aa s axx m a t i
caawalabaasamatii	c aa w a l a b aa s axx m a t ii
caawalabaasamatii	c aa w axx l a b aa s a m a t ii
caawalabaasamatii	c aa w axx l a b aa s axx m a t i
caawalabaasamatii	c aa w axx l a b aa s axx m a t ii
caawala	c aa w a l
caawala	c aa w axx l
caawalajayaa	c aa w a l a j a y aa
caawalajayaa	c aa w axx l a j a y aa
caawalakorsa	c aa w a l a k o r s
caawalakorsa	c aa w axx l a k o r s
caawalaparawala	c aa w a l a p a r a w a l
caawalaparawala	c aa w a l a p a r axx m a l
caawalaparawala	c aa w a l a p a r axx w a l
caawalaparawala	c aa w a l a p a r axx w a r
caawalaparawala	c aa w axx l a p a r a w a l
caawalaparawala	c aa w axx l a p a r axx m a l
caawalaparawala	c aa w axx l a p a r axx w a l
caawalaparawala	c aa w axx l a p a r axx w a r
caawalaphaaina	c aa w a l a ph aa i n
caawalaphaaina	c aa w axx l a ph aa i n
caawalaraashii	c aa w a l a r aa sh ii
caawalaraashii	c aa w axx l a r aa sh ii
caawalathrii	c aa w a l a th r ii
caawalathrii	c aa w axx l a th r ii
caawalatiina	c aa w a l a t ee l
caawalatiina	c aa w a l a th r ii
caawalatiina	c aa w a l a t ii n
caawalatiina	c aa w a l a t i l
caawalatiina	c aa w a l a tx ee n
caawalatiina	c aa w axx l a t ee l
caawalatiina	c aa w axx l a th r ii
caawalatiina	c aa w axx l a t ii n
caawalatiina	c aa w axx l a t i l
caawalatiina	c aa w axx l a tx ee n
canaabangaala	c a n aa b a n g aa l
canaabangaala	c a n aa b a n g aa l ii
canaabangaala	c a n aa b a n g o l
canaa	c a n aa
canaadaala	c a n aa d aa l
canaadeeshii	c a n aa d ee sh ii
canaadeeshii	c a n aa d ee s ii
canaakiidaala	c a n aa k ii d aa l
canaalokala	c a n aa l o k a l
canaasaabuuta	c a n aa s aa b u t
canaasaabuuta	c a n aa s aa b uu t
candoulii	c a n d ou l ii
candousii	c a n d ou s ii
candramukhii	c a n d r a m u kh ii
carakhaarii	c a r a kh aa r ii
cawaaliisa	c a w aa l ii s
cawaaliisa	c a w aa l i s
chaakaghaatxa	ch aa k a gh aa tx
chabbiisa	ch a b b ii s
chabbiisa	ch a bb ii s
chaparaa	ch a p a r aa
charraa	ch a r r aa
charraa	ch a rr aa
chatarapura	ch a t a r a p u r
chei	ch ee
chei	ch ei
chhapiheeda	ch p i h ee d
chibaraamauu	ch i b a r aa m a uu
chibaraamauu	ch i b axx r aa m a uu
chibaraamauu	ch i b r aa m a u
chindawaadxqaa	ch i n d a w aa dxq aa
chotxaa	ch o tx aa
chuaaraa	ch u aa r aa
chuaaraa	ch u h aa r aa
chutxamalpura	c u tx axx m a l p u r
chutxamalpura	c u tx m a l p u r
ciikuu	c ii k uu
ciinii	c ii n ii
ciragaanwa	c i r a g aa n w
ciragaanwa	c i r a g aan w
ciragaanwa	c i r axx g aan w
cireiyaakotxa	c i r ei y aa k o tx
cireiyaakotxa	c i r ii y aa k o tx
citawadxqagaanwa	c i t axx w a dxq a g aan w
citrakuutxa	c i t r a k uu tx
citrakuutxa	c i t r axx k uu tx
coubeepura	c ou b ee p u r
coubeepura	c ou b ee p u r aa
coubiisa	c ou b ii s
coudaha	c ou d aa
coudaha	c ou d a h
couraanwee	c ou r aa n w ee
couraii	c ou r aa ii
couriicouraa	c ou r ii c ou r aa
cousaa	c ou s aa
cukandara	c u k a n d a r
daadarii	d aa d a r ii
daadarii	d aa d axx r ii
daalacanaa	d aa l a c a n aa
daala	d aa l
daanaa	d aa n aa
daataaganja	d aa t aa g a n j
damoha	d a m o h
danakoura	d a n axx k ou r
daraa	d a r aa
dasa	d a s
dashahariiaama	d a sh a h a r ii aa m
dashahariiaama	d a sh a h ee r ii aa m
dashahariiaama	d a sh ee r ii aa m
dashaharii	d a sh a h a r ii
dashaharii	d a sh a h ee r ii
dashaharii	d a sh ee r ii
datiyaa	d a t i aa
datiyaa	d a t ii aa
datiyaa	d a t ii y aa
deehaata	d ee h aa t
deeshiiaaluu	d ee sh ii aa l uu
deeshiiaaluu	d ee s ii aa l uu
deeshiibaajaraa	d ee sh ii b aa j a r aa
deeshiibaajaraa	d ee sh ii b aa j axx r aa
deeshiibaajaraa	d ee s ii b aa j a r aa
deeshiibaajaraa	d ee s ii b aa j axx r aa
deeshiicanaa	d ee sh ii c a n aa
deeshiicanaa	d ee s ii c a n aa
deeshii	d ee sh ii
deeshii	d ee s ii
deeshiigeehuun	d ee sh ii g ee h uu
deeshiigeehuun	d ee sh ii g ee h uun
deeshiigeehuun	d ee sh ii g ee n h uu
deeshiigeehuun	d ee sh ii g ee n h uun
deeshiigeehuun	d ee s ii g ee h uu
deeshiigeehuun	d ee s ii g ee h uun
deeshiigeehuun	d ee s ii g ee n h uu
deeshiigeehuun	d ee s ii g ee n h uun
deeshiijou	d ee sh ii j ou
deeshiijou	d ee s ii j ou
deeshiilaalamakkaa	d ee sh ii l aa l a m a k k aa
deeshiilaalamakkaa	d ee sh ii l aa l a m a kk aa
deeshiilaalamakkaa	d ee s ii l aa l a m a k k aa
deeshiilaalamakkaa	d ee s ii l aa l a m a kk aa
deeshiilahasuna	d ee sh ii l a h a s u n
deeshiilahasuna	d ee sh ii l a h axx s u n
deeshiilahasuna	d ee sh ii l ee h a s u n
deeshiilahasuna	d ee sh ii l ee h axx s u n
deeshiilahasuna	d ee sh ii l ee s u n
deeshiilahasuna	d ee s ii l a h a s u n
deeshiilahasuna	d ee s ii l a h axx s u n
deeshiilahasuna	d ee s ii l ee h a s u n
deeshiilahasuna	d ee s ii l ee h axx s u n
deeshiilahasuna	d ee s ii l ee s u n
deeshiimakkaa	d ee sh ii m a k k aa
deeshiimakkaa	d ee sh ii m a kk aa
deeshiimakkaa	d ee s ii m a k k aa
deeshiimakkaa	d ee s ii m a kk aa
deeshiimuungadaala	d ee sh ii m uu n g aa d aa l
deeshiimuungadaala	d ee sh ii m uu n g a d aa l
deeshiimuungadaala	d ee sh ii m uu n g axx d aa l
deeshiimuungadaala	d ee s ii m uu n g aa d aa l
deeshiimuungadaala	d ee s ii m uu n g a d aa l
deeshiimuungadaala	d ee s ii m uu n g axx d aa l
deeshiisapheedamakkaa	d ee sh ii s a ph ee d a m a k k aa
deeshiisapheedamakkaa	d ee sh ii s a ph ee d m a k k aa
deeshiisapheedamakkaa	d ee s ii s a ph ee d a m a k k aa
deeshiisapheedamakkaa	d ee s ii s a ph ee d m a k k aa
deeshiitxamaatxara	d ee sh ii tx a m aa tx a r
deeshiitxamaatxara	d ee sh ii tx i m aa tx a r
deeshiitxamaatxara	d ee s ii tx a m aa tx a r
deeshiitxamaatxara	d ee s ii tx i m aa tx a r
deeshiiudxqada	d ee sh ii u dxq a d
deeshiiudxqada	d ee sh ii u r a d
deeshiiudxqada	d ee sh ii u r d
deeshiiudxqada	d ee s ii u dxq a d
deeshiiudxqada	d ee s ii u r a d
deeshiiudxqada	d ee s ii u r d
deewaasa	d ee w aa s
deewabanda	d ee w a b a n d
deewariyaa	d ee w a r i aa
deewariyaa	d ee w a r i y aa
dhaampura	d h aa m axx p u r
dhaampura	dh aa m axx p u r
dhaanaanya	dh aa n a a n y
dhaana	dh aa n
dhaanakorsa	dh aa n a k o r s
dhaanamadhyama	d aa l a m a dh y a m
dhaanamadhyama	dh aa n a m a dh y a m
dhaanaphaaina	dh aa n a ph aa i n
dhaanasaamaanya	dh aa n a s aa m aa n y
dhaara	dh aa r
dhamanoudha	dh a m a n ou d
dhamanoudha	dh a m a n ou dh
dhanaa	dh a n aa
dhaniyaa	dh a n ii aa
dhaniyaa	dh a n i y aa
dhaniyaaharaa	dh a n ii aa h a r aa
dhaniyaaharaa	dh a n i y aa h a r aa
dhanoura	d h a n ou r
dhanoura	dh a n ou r
dharawaarii	dh a r w aa r ii
dillii	d i l l ii
dillii	d i ll ii
disaaraa	d i s aa r aa
do	d o
dohariighaatxa	d o h a r ii gh aa tx
dudhii	d u dh ii
duura	d uu r
dxaaladxaa	dx aa l dx aa
dxabaraa	dx a b a r aa
dxeedxqa	dx ee dxq
dxibiyaapura	dx i b i y aa p u r
dxiliishiyasa	dx i l ii sh i y a s
dxiliishiyasa	dx i l ii s i y a s
dxindxorii	dx i n dx o r ii
dxisatxika	dx i s a tx i k
dxisatxika	dx i s axx tx i k
dxisatxika	dx i s tx i k
dxiwaaii	d i w aa ii
dxiwaaii	dx i w aa ii
dxoma	dx o m
eeka	ee k
eephaeekyuu	ee ph a ee k y uu
eephaeekyuu	ee ph axx ee k y uu
eitxaa	ei tx aa
eitxa	ei tx
gaadxarwaaraa	g aa dx a r a w aa r aa
gaajara	g aa j a r
gaajara	g aa j axx r
gaajiipura	g aa j ii p u r
gaajiyaabaada	g aa j i aa b aa d
gaajiyaabaada	g aa j i y aa b aa d
gadouraa	g a d ou r aa
gadxhqa	g a dxhq
gahaanaabaada	g a h aa n aa b aa d
gajaroulaa	g a j a r ou l aa
galagala	g a l a g a l
galagala	g a l axx g a l
gallaa	g a l l aa
gallaa	g a ll aa
gandhawanii	g a n dh a w a n ii
gangoha	g a n g o h
ganjadxunxdxawaaraa	g a n j dx u dxq axx w aa r aa
ganjadxunxdxawaaraa	g a n j dx u dxq w aa r aa
gannaa	g a n n a
gannaa	g a nn a
garii	g a r ii
geehuunanya	g ee h uu a nn a
geehuunanya	g ee h uu a n y
geehuunanya	g ee h uun a nn a
geehuunanya	g ee h uun a n y
geehuunanya	g ee n h uu a nn a
geehuunanya	g ee n h uu a n y
geehuunanya	g ee n h uun a nn a
geehuunanya	g ee n h uun a n y
geehuundaraa	g ee h uu d a r aa
geehuundaraa	g ee h uu h a r aa
geehuundaraa	g ee h uun d a r aa
geehuundaraa	g ee h uun h a r aa
geehuundaraa	g ee n h uu d a r aa
geehuundaraa	g ee n h uu h a r aa
geehuundaraa	g ee n h uun d a r aa
geehuundaraa	g ee n h uun h a r aa
geehuundeeshii	g ee h uu d ee sh ii
geehuundeeshii	g ee h uu d ee s ii
geehuundeeshii	g ee h uun d ee sh ii
geehuundeeshii	g ee h uun d ee s ii
geehuundeeshii	g ee n h uu d ee sh ii
geehuundeeshii	g ee n h uu d ee s ii
geehuundeeshii	g ee n h uun d ee sh ii
geehuundeeshii	g ee n h uun d ee s ii
geehuun	g ee h uu
geehuun	g ee h uun
geehuun	g ee n h uu
geehuun	g ee n h uun
geehuunlokala	g ee h uu l o k a l
geehuunlokala	g ee h uun l o k a l
geehuunlokala	g ee n h uu l o k a l
geehuunlokala	g ee n h uun l o k a l
geehuunmadhyama	g ee h uu m a dh y a m
geehuunmadhyama	g ee h uun m a dh y a m
geehuunmadhyama	g ee n h uu m a dh y a m
geehuunmadhyama	g ee n h uun m a dh y a m
geehuunsapheeda	g ee h uun s a ph ee d
geehuunsapheeda	g ee h uun s a ph ee d aa
geehuunsapheeda	g ee h uu s a ph ee d
geehuunsapheeda	g ee h uu s a ph ee d aa
geehuunsapheeda	g ee n h uun s a ph ee d
geehuunsapheeda	g ee n h uun s a ph ee d aa
geehuunsapheeda	g ee n h uu s a ph ee d
geehuunsapheeda	g ee n h uu s a ph ee d aa
geendaa	g ee n d aa
geendaa	g ei n d aa
ghanasoura	gh a n s ou r
ghiroura	gh i r o r
ghiroura	gh i r ou r
ghiyaa	gh i y aa
ghuiyaan	gh u i y aa
ghuiyaan	gh u i y aan
giiliimatxara	g ii l ii m a tx a r
gobhii	g o bh ii
gohada	g o h a d
golaagokaranaatha	g o l aa g o k a r axx n aa th
golaagokaranaatha	g o l a g o k a r axx n aa th
golabeingana	g o l a b ee n g a n
golabeingana	g o l a b ei g a n
golabeingana	g o l a b ei n g a n
gola	g o l
goldxa	g o l dx
goldxanaseeba	g o l dx a n a s ee b
goldxanaseeba	g o l dx a n a s ee w
gondxaa	g o n d x aa
gondxaa	g o n dx aa
gopiiganja	g o p ii g a n j
gorakhapura	g o r a kh a p u r
gorakhapura	g o r a kh axx p u r
gorakhapura	g o r a kh p u r
gotxeegaanwa	g o tx ee g aa w
goutamabuddhanagara	g ou t a m a b u d dh a n a g a r
goutamabuddhanagara	g ou t a m a b u ddh a n a g a r
goutamapura	g ou t a m a p u r
goutamapura	g ou t a m axx p u r
gowindapurama	g o w i n d a p u r a m
gowindapurama	g o w i n d axx p u r a m
graama	g r aa m
gudxqaanya	g u dxq a a nn a
gudxqaanya	g u dxq a a n y
gudxqadisaaraa	g u dxq a d i s aa r aa
gudxqa	g u dxq
gudxqakhandxasaarii	g u dxq a kh a n dx a s aa r ii
gudxqalaala	g u dxq a l aa l
gudxqapatxhaarii	g u dxq a p a txh aa r ii
gudxqapiilaa	g u dxq a p ii l aa
gudxqapiilaa	g u dxq a p ii l ee
gulaabaganja	g u l aa b a g a n j
gulaaba	g u l aa b
gulaawatxii	g u l aa w a tx ii
gunaa	g u n aa
gurusaraanya	g u r u s a r aa n y
gurusaraanya	g u r u s a r aan y
gurusaraanya	g u r u s a r aa y ee
gwaaliyara	g a w aa l i a r
gwaaliyara	g w aa l i y a r
gwaaraphalii	g u aa r axx ph a l ii
gwaaraphalii	g w aa r a ph a l ii
gwaaraphalii	g w aa r axx ph a l ii
gyaaraha	g y aa r aa
gyaaraha	g y aa r a h
gyaaraha	g y aa r ee
haaibridxabaajaraa	h aa i b r i dx a b aa j a r aa
haaibridxabaajaraa	h aa i b r i dx a b aa j axx r aa
haaibridxabaajaraa	h aa i b r ii dx a b aa j a r aa
haaibridxabaajaraa	h aa i b r ii dx a b aa j axx r aa
haaibridxa	h aa i b r i dx
haaibridxa	h aa i b r ii dx
haaibridxamakkaa	h aa i b r i dx a m a k k aa
haaibridxamakkaa	h aa i b r i dx a m a kk aa
haaibridxamakkaa	h aa i b r ii dx a m a k k aa
haaibridxamakkaa	h aa i b r ii dx a m a kk aa
haaibridxatxamaatxara	h aa i b r i dx a tx a m aa tx a r
haaibridxatxamaatxara	h aa i b r i dx a tx i m aa tx a r
haaibridxatxamaatxara	h aa i b r ii dx a tx a m aa tx a r
haaibridxatxamaatxara	h aa i b r ii dx a tx i m aa tx a r
haan	h aa n
haapudxqa	h aa p u dxq
haatharasa	h aa th a r a s
haatxpipliya	h aa tx axx p i p l i y aa
haatxpipliya	h aa tx p i p l i y aa
hajaara	h a j aa r
haladxaura	h a l a dx au r
haldii	h a l d ii
halo	h a l o
halo	h ee l o
hamiirapura	h a m ii r a p u r
hamiirapura	h a m ii r axx p u r
haraaadaraka	h a r aa a d a r a k
haraaadaraka	h a r aa a d axx r a k
haraaadaraka	h a r aa a d axx r a kh
haraaadaraka	h a r ii a d a r a k
haraaadaraka	h a r ii a d axx r a k
haraaadaraka	h a r ii a d axx r a kh
haraaanguura	h a r aa a n g uu r
haraadhaniyaa	h a r aa dh a n aa
